id,opera,aria,year,composer,Character,Clef 1,Clef 2,Clef 3
0312,Did72X,Passagier_che,1769,Majo,Enea,C-1,,
0313,Did13M,Se_resto,1794,Paisiello,Enea,C-1,,
0314,Did02M,Diro_che,1794,Paisiello,Selene,C-1,,
0315,Did06M,Se_dalle,1794,Paisiello,Araspe,C-1,,
0316,Did33M,Cadra_fra,1794,Paisiello,Iarba,C-1,,
0317,Did11M,Tu_mi_disarmi,1794,Paisiello,Iarba,C-1,,
0318,Did14M,Pensa_che,1794,Paisiello,Osmida,C-1,,
0319,Did03Ma,Son_regina,1744,Scalabrini,Didone,C-1,,
0320,Did07M,Quando_saprai,1794,Paisiello,Enea,C-1,,
0321,Did88M-Rug,So_che,1794,Paisiello,Araspe,C-1,,
0322,Did05M,Fra_lo,1744,Scalabrini,Iarba,C-4,,
0323,Did57X,Fra_tutte,1794,Paisiello,Selene,C-1,,
0324,Did29M,A_trionfar,1763,Jommelli,Enea,C-1,,
0325,Did34M,Vado_ma,1794,Paisiello,Didone,C-1,,
0326,Did33M,Cadra_fra,1744,Scalabrini,Iarba,C-4,,
0327,Did18M,Ah_non_lasciarmi,1750c,Viotti,Didone,C-1,,
0328,Did02M,Diro_che,1763,Jommelli,Selene,C-1,,
0329,Did41M,La_caduta,1763,Jommelli,Iarba,C-4,,
0330,Did24M,Chiamami_pur,1747,Jommelli,Iarba,C-4,,
0331,Did87X,Morire_oh,1794,Paisiello,Didone&Enea,C-1,C-1,
0332,Did55M-Zen,Non_so,1769,Majo,Araspe,C-1,,
0333,Did73X,Nel_mirar,1769,Majo,Osmida,C-4,,
0334,Did07M,Quando_saprai,1744,Scalabrini,Enea,C-1,,
0335,Did31M,Va_crescendo,1744,Scalabrini,Selene,C-1,,
0336,Did17M,L_augelletto,1744,Scalabrini,Araspe,C-1,,
0337,Did02M,Diro_che,1776,Schuster,Selene,C-1,,
0338,Did09M,Son_quel,1776,Schuster,Iarba,C-4,,
0339,Did76X,Se_il,1747,Jommelli,Didone,C-1,,
0340,Did23M,Veggio_la,1769,Majo,Selene,C-1,,
0341,Did20M,Fosca_nube,1769,Majo,Iarba,C-4,,
0342,Did06M,Se_dalle,1776,Schuster,Araspe,C-1,,
0343,Did07M,Quando_saprai,1776,Schuster,Enea,C-1,,
0344,Did04M,Tu_mi_scorgi,1763,Jommelli,Osmida,C-1,,
0345,Did66X,Per_pieta,1769,Majo,Enea,C-1,,
0346,Did31M,Va_crescendo,1769,Majo,Didone,C-1,,
0347,Did16M,Tu_mi_disarmi,1776,Schuster,Iarba,C-4,,
0348,Did06M,Se_dalle,1763,Jommelli,Araspe,C-1,,
0349,Did07M,Quando_saprai,1763,Jommelli,Enea,C-1,,
0350,Did74X,Non_partir,1769,Majo,"Didone,Enea&Iarba",C-1,C-1,C-4
0351,Did02MXa,Son_regina,1726,Vinci,Didone,C-1,,
0352,Did14M,Pensa_che,1776,Schuster,Osmida,C-1,,
0353,Did24M,Chiamami_pur,1776,Schuster,Iarba,C-4,,
0354,Did84X,Se_un,1776,Schuster,Selene,C-1,,
0355,Did85X,Voglio_che,1776,Schuster,Didone,C-1,,
0356,Did09M,Son_quel,1747,Jommelli,Iarba,C-4,,
0357,Did09M,Son_quel,1763,Jommelli,Iarba,C-4,,
0358,Did63X,Datre_nubi,1763,Jommelli,Araspe,C-1,,
0359,Did17M,L_augelletto,1776,Schuster,Araspe,C-1,,
0360,Did38M,Vorrei_disciogliere,1776,Schuster,Araspe,C-1,,
0361,Did12M,Non_ha,1726,Vinci,Didone,C-1,,
0362,Did13M,Se_resto,1726,Vinci,Enea,C-4,,
0363,Did03M,Son_regina,1780,Astarita,Didone,C-1,,
0364,Did18M,Ah_non_lasciarmi,1780,Astarita,Didone,C-1,,
0365,Did13M,Se_resto,1780,Astarita,Enea,C-4,,
0366,Did20M,Fosca_nube,1763,Jommelli,Iarba,C-4,,
0367,Did53Xb,Ombra_cara,1776,Schuster,Didone,C-1,,
0368,Did97X,Quando_freme,1743,Terradellas,Didone,C-1,,
0369,Did51Xa,Ah_non_sai,1763,Jommelli,Enea,C-1,,
0370,Did95X,Ah_non_lasciarmi_ingrato,1776,Schuster,Didone&Enea,C-1,C-1,
0371,Did33M,Cadra_fra,1780,Astarita,Iarba,F-4,,
0372,Did08M,Ogni_amator,1763,Jommelli,Selene,C-1,,
0373,Did31M,Va_crescendo,1763,Jommelli,Didone,C-1,,
0374,Did26M,Vivi_superbo,1744,Scalabrini,Enea,C-1,,
0375,Did18M,Ah_non_lasciarmi,1788,Andreozzi,Didone,C-1,,
0376,Did02M,Diro_che,1780,Astarita,Selene,C-1,,
0377,Did01M,Dovrei_ma,1780,Astarita,Enea,C-1,,
0378,Did09M,Son_quel,1780,Astarita,Iarba,F-4,,
0379,Did103X,Sdegno_ingegno,1744,Scalabrini,Osmida,C-3,,
0380,Did13M,Se_resto,1744,Scalabrini,Enea,C-1,,
0381,Did99M,Scherza_il,1744,Scalabrini,Osmida,C-3,,
0382,Did64X,Infidel_ti,1763,Jommelli,"Didone,Enea&Iarba",C-1,C-1,C-4
0383,Dem14M,Se_tutti,1733,Caldara,Dircea,C-1,,
0384,Did02M,Diro_che,1726,Vinci,Enea,C-1,,
0385,Did06M,Se_dalle,1780,Astarita,Araspe,C-4,,
0386,Dem22M,Misero_pargoletto,1733,Caldara,Timante,C-1,,
0387,Did102X,Nel_tuo,1744,Scalabrini,Selene,C-1,,
0388,Did04MXa,Grato_rende,1726,Vinci,Osmida,C-3,,
0389,Dem25M,Non_dura,1733,Caldara,Creusa,C-1,,
0390,Dem24M,Che_mai,1733,Caldara,Dircea,C-1,,
0391,Dem23M,Odo_il,1733,Caldara,Demofoonte,C-3,,
0392,Did100X,Tu_mi_guardi,1744,Scalabrini,Didone,C-1,,
0393,Did05M,Fra_lo,1726,Vinci,Iarba,C-3,,
0394,Did06M,Se_dalle,1726,Vinci,Araspe,C-1,,
0395,Did07M,Quando_saprai,1726,Vinci,Enea,C-4,,
0396,Did101X,Costanza_mio,1744,Scalabrini,Araspe,C-1,,
0397,Did24M,Chiamami_pur,1744,Scalabrini,Iarba,C-4,,
