,mc,mn,mc_onset,mn_onset,timesig,staff,voice,duration,gracenote,nominal_duration,scalar,tied,tpc,midi,volta,chord_id
474,39,39,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,474
475,39,39,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,58,,481
476,39,39,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,478
477,39,39,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,77,,472
478,39,39,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,475
479,39,39,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-2,58,,482
480,39,39,1/4,1/4,3/8,3,1,1/8,,1/8,1,,2,62,,479
481,39,39,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-2,70,,473
482,39,39,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-2,70,,476
483,40,40,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,493
484,40,40,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,491
485,40,40,0,0,3/8,1,1,1/8,,1/8,1,,0,72,,483
486,40,40,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,485
487,40,40,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,50,,494
488,40,40,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-1,65,,492
489,40,40,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-2,70,,484
490,40,40,1/8,1/8,3/8,2,1,1/32,,1/32,1,,2,74,,486
491,40,40,5/32,5/32,3/8,2,1,1/32,,1/32,1,,0,72,,487
492,40,40,3/16,3/16,3/8,2,1,1/16,,1/16,1,,-2,70,,488
493,40,40,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,489
494,40,40,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,490
495,41,41,0,0,3/8,5,1,1/8,,1/8,1,,1,55,,503
496,41,41,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,500
497,41,41,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,497
498,41,41,1/8,1/8,3/8,5,1,1/8,,1/8,1,,1,55,,504
499,41,41,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,501
500,41,41,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-3,75,,495
501,41,41,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,498
502,41,41,1/4,1/4,3/8,5,1,1/8,,1/8,1,,1,55,,505
503,41,41,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,502
504,41,41,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,496
505,41,41,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,499
506,42,42,0,0,3/8,5,1,1/8,,1/8,1,,3,57,,516
507,42,42,0,0,3/8,1,1,3/32,,1/16,3/2,,-1,65,,506
508,42,42,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,513
509,42,42,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,510
510,42,42,3/32,3/32,3/8,1,1,1/32,,1/32,1,,1,67,,507
511,42,42,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,57,,517
512,42,42,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,65,,508
513,42,42,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,514
514,42,42,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,511
515,42,42,1/4,1/4,3/8,5,1,1/8,,1/8,1,,3,57,,518
516,42,42,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-1,65,,509
517,42,42,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,515
518,42,42,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,512
519,43,43,0,0,3/8,5,1,1/8,,1/8,1,,3,57,,527
520,43,43,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,524
521,43,43,0,0,3/8,1,1,1/8,,1/8,1,,-3,75,,519
522,43,43,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,521
523,43,43,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,57,,528
524,43,43,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,525
525,43,43,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,522
526,43,43,1/8,1/8,3/8,1,1,1/4,,1/4,1,,-3,75,,520
527,43,43,1/4,1/4,3/8,5,1,1/8,,1/8,1,,3,57,,529
528,43,43,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,526
529,43,43,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,523
530,44,44,0,0,3/8,5,1,1/8,,1/8,1,,3,57,,539
531,44,44,0,0,3/8,1,1,1/8,,1/8,1,,-1,65,,530
532,44,44,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,536
533,44,44,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,533
534,44,44,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,57,,540
535,44,44,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,65,,531
536,44,44,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,537
537,44,44,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,534
538,44,44,1/4,1/4,3/8,5,1,1/8,,1/8,1,,3,57,,541
539,44,44,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,538
540,44,44,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,532
541,44,44,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,535
542,45,45,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,553
543,45,45,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,550
544,45,45,0,0,3/8,1,1,1/32,,1/32,1,,2,74,,542
545,45,45,0,0,3/8,2,1,1/32,,1/32,1,,2,74,,546
546,45,45,1/32,1/32,3/8,1,1,1/32,,1/32,1,,0,72,,543
547,45,45,1/32,1/32,3/8,2,1,1/32,,1/32,1,,0,72,,547
548,45,45,1/16,1/16,3/8,1,1,1/16,,1/16,1,,-2,70,,544
549,45,45,1/16,1/16,3/8,2,1,1/16,,1/16,1,,-2,70,,548
550,45,45,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-3,51,,554
551,45,45,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,551
552,45,45,1/8,1/8,3/8,1,1,1/4,,1/4,1,,0,72,,545
553,45,45,1/8,1/8,3/8,2,1,1/4,,1/4,1,,0,72,,549
554,45,45,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-1,53,,555
555,45,45,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,552
556,46,46,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,563
557,46,46,0,0,3/8,1,1,1/8,,1/8,1,,-2,70,,556
558,46,46,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,561
559,46,46,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,562
560,46,46,1/8,1/8,3/8,1,1,1/16,,1/16,1,,-1,77,,557
561,46,46,3/16,3/16,3/8,1,1,1/16,,1/16,1,,1,79,,558
562,46,46,1/4,1/4,3/8,1,1,1/16,,1/16,1,,-1,77,,559
563,46,46,5/16,5/16,3/8,1,1,1/16,,1/16,1,,4,76,,560
564,47,47,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,571
565,47,47,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,570
566,47,47,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,569
567,47,47,0,0,3/8,1,1,1/8,,1/8,1,,-1,77,,564
568,47,47,1/8,1/8,3/8,1,1,1/16,,1/16,1,,-3,75,,565
569,47,47,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-1,77,,566
570,47,47,1/4,1/4,3/8,1,1,1/16,,1/16,1,,-3,75,,567
571,47,47,5/16,5/16,3/8,1,1,1/16,,1/16,1,,2,74,,568
572,48,48,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,579
573,48,48,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,578
574,48,48,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,577
575,48,48,0,0,3/8,1,1,1/8,,1/8,1,,-3,75,,572
576,48,48,1/8,1/8,3/8,1,1,1/16,,1/16,1,,-5,73,,573
577,48,48,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-3,75,,574
578,48,48,1/4,1/4,3/8,1,1,1/16,,1/16,1,,-5,73,,575
579,48,48,5/16,5/16,3/8,1,1,1/16,,1/16,1,,0,72,,576
580,49,49,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,587
581,49,49,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,586
582,49,49,0,0,3/8,1,1,1/8,,1/8,1,,-5,73,,580
583,49,49,0,0,3/8,2,1,1/8,,1/8,1,,-5,73,,585
584,49,49,1/8,1/8,3/8,1,1,1/16,,1/16,1,,-7,71,,581
585,49,49,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-5,73,,582
586,49,49,1/4,1/4,3/8,1,1,1/16,,1/16,1,,-7,71,,583
587,49,49,5/16,5/16,3/8,1,1,1/16,,1/16,1,,-2,70,,584
588,50,50,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,595
589,50,50,0,0,3/8,3,1,1/8,,1/8,1,,-6,66,,594
590,50,50,0,0,3/8,1,1,1/8,,1/8,1,,-7,71,,588
591,50,50,0,0,3/8,2,1,1/8,,1/8,1,,5,71,,593
592,50,50,1/8,1/8,3/8,1,1,1/16,,1/16,1,,-2,70,,589
593,50,50,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-7,71,,590
594,50,50,1/4,1/4,3/8,1,1,1/16,,1/16,1,,-2,70,,591
595,50,50,5/16,5/16,3/8,1,1,1/16,,1/16,1,,3,69,,592
596,51,51,0,0,3/8,5,1,1/8,,1/8,1,,4,52,,603
597,51,51,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,602
598,51,51,0,0,3/8,1,1,1/8,,1/8,1,,-2,70,,596
599,51,51,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,601
600,51,51,1/8,1/8,3/8,1,1,1/16,,1/16,1,,3,69,,597
601,51,51,3/16,3/16,3/8,1,1,1/16,,1/16,1,,-2,70,,598
602,51,51,1/4,1/4,3/8,1,1,1/16,,1/16,1,,3,69,,599
603,51,51,5/16,5/16,3/8,1,1,1/16,,1/16,1,,1,67,,600
604,52,52,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,617
605,52,52,0,0,3/8,3,1,1/8,,1/8,1,,-1,65,,612
606,52,52,0,0,3/8,1,1,3/32,,1/16,3/2,,3,69,,604
607,52,52,0,0,3/8,2,1,1/8,,1/8,1,,3,69,,607
608,52,52,3/32,3/32,3/8,1,1,1/32,,1/32,1,,-2,70,,605
609,52,52,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,-1,65,,613
610,52,52,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,3,69,,608
611,52,52,1/8,1/8,3/8,1,1,1/8,,1/8,1,,0,72,,606
612,52,52,7/32,7/32,3/8,3,1,1/32,,1/32,1,,4,64,,614
613,52,52,7/32,7/32,3/8,2,1,1/32,,1/32,1,,1,67,,609
614,52,52,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,-1,65,,615
615,52,52,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,3,69,,610
616,52,52,11/32,11/32,3/8,3,1,1/32,,1/32,1,,1,67,,616
617,52,52,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-2,70,,611
618,53,53,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,630
619,53,53,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,625
620,53,53,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,620
621,53,53,0,0,3/8,1,1,1/8,,1/8,1,,-3,75,,618
622,53,53,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,53,,631
623,53,53,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,3,69,,626
624,53,53,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,621
625,53,53,1/8,1/8,3/8,1,1,1/4,,1/4,1,,-3,75,,619
626,53,53,7/32,7/32,3/8,3,1,1/32,,1/32,1,,1,67,,627
627,53,53,7/32,7/32,3/8,2,1,1/32,,1/32,1,,-2,70,,622
628,53,53,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-1,53,,632
629,53,53,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,3,69,,628
630,53,53,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,623
631,53,53,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-2,70,,629
632,53,53,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,624
633,54,54,0,0,3/8,5,1,1/8,,1/8,1,,3,45,,642
634,54,54,0,0,3/8,1,1,1/8,,1/8,1,,-1,65,,633
635,54,54,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,639
636,54,54,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,636
637,54,54,1/8,1/8,3/8,5,1,1/8,,1/8,1,,3,45,,643
638,54,54,1/8,1/8,3/8,1,1,1/8,,1/8,1,,-1,65,,634
639,54,54,1/8,1/8,3/8,3,1,1/8,,1/8,1,,0,72,,640
640,54,54,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-3,75,,637
641,54,54,1/4,1/4,3/8,5,1,1/8,,1/8,1,,3,45,,644
642,54,54,1/4,1/4,3/8,3,1,1/8,,1/8,1,,0,72,,641
643,54,54,1/4,1/4,3/8,1,1,1/8,,1/8,1,,-3,75,,635
644,54,54,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,638
645,55,55,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,655
646,55,55,0,0,3/8,3,1,1/16,,1/16,1,,-1,65,,651
647,55,55,0,0,3/8,1,1,1/32,,1/32,1,,2,74,,645
648,55,55,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,649
649,55,55,1/32,1/32,3/8,1,1,1/32,,1/32,1,,0,72,,646
650,55,55,1/16,1/16,3/8,1,1,1/16,,1/16,1,,-2,70,,647
651,55,55,1/16,1/16,3/8,3,1,1/16,,1/16,1,,-2,70,,652
652,55,55,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,53,,656
653,55,55,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,653
654,55,55,1/8,1/8,3/8,1,1,1/4,,1/4,1,,0,72,,648
655,55,55,1/8,1/8,3/8,2,1,1/4,,1/4,1,,0,72,,650
656,55,55,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-1,41,,657
657,55,55,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,654
658,56,56,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,667
659,56,56,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,659
660,56,56,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,662
661,56,56,0,0,3/8,1,1,1/4,,1/4,1,,-2,70,,658
662,56,56,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,46,,668
663,56,56,1/8,1/8,3/8,4,1,1/8,,1/8,1,,2,62,,665
664,56,56,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-1,65,,663
665,56,56,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,660
666,56,56,1/4,1/4,3/8,5,1,1/8,,1/8,1,,0,48,,669
667,56,56,1/4,1/4,3/8,4,1,1/8,,1/8,1,,0,60,,666
668,56,56,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-3,63,,664
669,56,56,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,661
670,57,57,0,0,3/8,5,1,1/8,,1/8,1,,2,50,,679
671,57,57,0,0,3/8,4,1,1/8,,1/8,1,,-2,58,,676
672,57,57,0,0,3/8,3,1,1/8,,1/8,1,,2,62,,673
673,57,57,0,0,3/8,2,1,1/8,,1/8,1,,-1,77,,670
674,57,57,1/8,1/8,3/8,5,1,1/8,,1/8,1,,0,48,,680
675,57,57,1/8,1/8,3/8,4,1,1/8,,1/8,1,,0,60,,677
676,57,57,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-3,63,,674
677,57,57,1/8,1/8,3/8,2,1,1/8,,1/8,1,,3,69,,671
678,57,57,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-2,46,,681
679,57,57,1/4,1/4,3/8,4,1,1/8,,1/8,1,,2,62,,678
680,57,57,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-1,65,,675
681,57,57,1/4,1/4,3/8,2,1,1/8,,1/8,1,1,-2,70,,672
682,58,58,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,691
683,58,58,0,0,3/8,4,1,1/8,,1/8,1,,-3,63,,688
684,58,58,0,0,3/8,3,1,1/8,,1/8,1,,1,67,,685
685,58,58,0,0,3/8,2,1,1/8,,1/8,1,-1,-2,70,,682
686,58,58,1/8,1/8,3/8,5,1,1/8,,1/8,1,,2,50,,692
687,58,58,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-2,58,,689
688,58,58,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-1,65,,686
689,58,58,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,683
690,58,58,1/4,1/4,3/8,5,1,1/8,,1/8,1,,0,48,,693
691,58,58,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-3,63,,690
692,58,58,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,687
693,58,58,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,684
694,59,59,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,703
695,59,59,0,0,3/8,4,1,1/8,,1/8,1,,-1,65,,700
696,59,59,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,697
697,59,59,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,694
698,59,59,1/8,1/8,3/8,5,1,1/8,,1/8,1,,0,48,,704
699,59,59,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-3,63,,701
700,59,59,1/8,1/8,3/8,2,1,1/8,,1/8,1,,3,69,,695
701,59,59,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-3,75,,698
702,59,59,1/4,1/4,3/8,5,1,1/8,,1/8,1,,2,50,,705
703,59,59,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-1,65,,702
704,59,59,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-2,70,,696
705,59,59,1/4,1/4,3/8,3,1,1/8,,1/8,1,,2,74,,699
706,60,60,0,0,3/8,5,1,1/8,,1/8,1,,-3,51,,715
707,60,60,0,0,3/8,4,1,1/8,,1/8,1,,1,67,,712
708,60,60,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,709
709,60,60,0,0,3/8,2,1,1/8,,1/8,1,,1,79,,706
710,60,60,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,53,,716
711,60,60,1/8,1/8,3/8,4,1,1/8,,1/8,1,,0,60,,713
712,60,60,1/8,1/8,3/8,3,1,1/8,,1/8,1,,3,69,,710
713,60,60,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-1,77,,707
714,60,60,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-1,41,,717
715,60,60,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-1,65,,714
716,60,60,1/4,1/4,3/8,3,1,1/8,,1/8,1,,3,69,,711
717,60,60,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-3,75,,708
718,61,61,0,0,3/8,5,1,1/8,,1/8,1,,-2,46,,727
719,61,61,0,0,3/8,4,1,1/8,,1/8,1,,-1,65,,725
720,61,61,0,0,3/8,3,1,1/8,,1/8,1,,-2,70,,722
721,61,61,0,0,3/8,2,1,3/32,,1/16,3/2,,2,74,,718
722,61,61,3/32,3/32,3/8,2,1,1/32,,1/32,1,,0,72,,719
723,61,61,1/8,1/8,3/8,3,1,1/8,,1/8,1,,2,62,,723
724,61,61,1/8,1/8,3/8,2,1,1/8,,1/8,1,,-2,70,,720
725,61,61,1/4,1/4,3/8,5,1,1/8,,1/8,1,,-2,46,,728
726,61,61,1/4,1/4,3/8,3,1,1/8,,1/8,1,,2,62,,724
727,61,61,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-1,65,,726
728,61,61,1/4,1/4,3/8,2,1,1/8,,1/8,1,,-2,70,,721
729,62,62,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,740
730,62,62,0,0,3/8,3,1,1/8,,1/8,1,,2,62,,734
731,62,62,0,0,3/8,4,1,1/4,,1/4,1,,-1,65,,739
732,62,62,0,0,3/8,2,1,1/8,,1/8,1,,-2,70,,729
733,62,62,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-1,41,,741
734,62,62,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,0,60,,735
735,62,62,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,3,69,,730
736,62,62,7/32,7/32,3/8,3,1,1/32,,1/32,1,,-2,58,,736
737,62,62,7/32,7/32,3/8,2,1,1/32,,1/32,1,,1,67,,731
738,62,62,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,0,60,,737
739,62,62,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,3,69,,732
740,62,62,11/32,11/32,3/8,3,1,1/32,,1/32,1,,2,62,,738
741,62,62,11/32,11/32,3/8,2,1,1/32,,1/32,1,,-2,70,,733
742,63,63,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,754
743,63,63,0,0,3/8,3,1,1/8,,1/8,1,,-3,63,,747
744,63,63,0,0,3/8,4,1,1/8,,1/8,1,,3,69,,752
745,63,63,0,0,3/8,2,1,1/8,,1/8,1,,0,72,,742
746,63,63,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,58,,755
747,63,63,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,2,62,,748
748,63,63,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-1,65,,753
749,63,63,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,-2,70,,743
750,63,63,7/32,7/32,3/8,3,1,1/32,,1/32,1,,0,60,,749
751,63,63,7/32,7/32,3/8,2,1,1/32,,1/32,1,,3,69,,744
752,63,63,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,2,62,,750
753,63,63,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,-2,70,,745
754,63,63,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-3,63,,751
755,63,63,11/32,11/32,3/8,2,1,1/32,,1/32,1,,0,72,,746
756,64,64,0,0,3/8,5,1,1/8,,1/8,1,,-2,58,,768
757,64,64,0,0,3/8,3,1,1/8,,1/8,1,,-1,65,,761
758,64,64,0,0,3/8,4,1,1/8,,1/8,1,,-2,70,,766
759,64,64,0,0,3/8,2,1,1/8,,1/8,1,,2,74,,756
760,64,64,1/8,1/8,3/8,5,1,1/8,,1/8,1,,0,60,,769
761,64,64,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,-3,63,,762
762,64,64,1/8,1/8,3/8,4,1,1/8,,1/8,1,,3,69,,767
763,64,64,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,757
764,64,64,7/32,7/32,3/8,3,1,1/32,,1/32,1,,2,62,,763
765,64,64,7/32,7/32,3/8,2,1,1/32,,1/32,1,,-2,70,,758
766,64,64,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,-3,63,,764
767,64,64,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,759
768,64,64,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-1,65,,765
769,64,64,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,760
770,65,65,0,0,3/8,5,1,1/8,,1/8,1,,0,60,,780
771,65,65,0,0,3/8,4,1,1/8,,1/8,1,,-3,63,,777
772,65,65,0,0,3/8,3,1,3/32,,1/16,3/2,,1,67,,773
773,65,65,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,770
774,65,65,3/32,3/32,3/8,3,1,1/32,,1/32,1,,3,69,,774
775,65,65,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,58,,781
776,65,65,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-1,65,,778
777,65,65,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,775
778,65,65,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,771
779,65,65,1/4,1/4,3/8,5,1,1/8,,1/8,1,,1,55,,782
780,65,65,1/4,1/4,3/8,4,1,1/8,,1/8,1,,1,67,,779
781,65,65,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-2,70,,776
782,65,65,1/4,1/4,3/8,2,1,1/8,,1/8,1,,4,76,,772
783,66,66,0,0,3/8,5,1,1/4,,1/4,1,,-1,53,,794
784,66,66,0,0,3/8,4,1,1/4,,1/4,1,,0,60,,793
785,66,66,0,0,3/8,3,1,1/8,,1/8,1,,3,69,,788
786,66,66,0,0,3/8,2,1,1/8,,1/8,1,,-1,77,,783
787,66,66,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,3,69,,789
788,66,66,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,0,72,,784
789,66,66,7/32,7/32,3/8,3,1,1/32,,1/32,1,,1,67,,790
790,66,66,7/32,7/32,3/8,2,1,1/32,,1/32,1,,-2,70,,785
791,66,66,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,3,69,,791
792,66,66,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,0,72,,786
793,66,66,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-2,70,,792
794,66,66,11/32,11/32,3/8,2,1,1/32,,1/32,1,,2,74,,787
795,67,67,0,0,3/8,5,1,1/8,,1/8,1,,-1,53,,804
796,67,67,0,0,3/8,4,1,1/8,,1/8,1,,-1,65,,801
797,67,67,0,0,3/8,3,1,1/8,,1/8,1,,0,72,,798
798,67,67,0,0,3/8,2,1,1/8,,1/8,1,,-3,75,,795
799,67,67,1/8,1/8,3/8,5,1,1/8,,1/8,1,,-2,46,,805
800,67,67,1/8,1/8,3/8,4,1,1/8,,1/8,1,,-1,65,,802
801,67,67,1/8,1/8,3/8,3,1,1/8,,1/8,1,,-2,70,,799
802,67,67,1/8,1/8,3/8,2,1,1/8,,1/8,1,,2,74,,796
803,67,67,1/4,1/4,3/8,5,1,1/8,,1/8,1,,0,48,,806
804,67,67,1/4,1/4,3/8,4,1,1/8,,1/8,1,,-3,63,,803
805,67,67,1/4,1/4,3/8,3,1,1/8,,1/8,1,,-3,75,,800
806,67,67,1/4,1/4,3/8,2,1,1/8,,1/8,1,,3,81,,797
807,68,68,0,0,3/8,5,1,1/4,,1/4,1,,-2,46,,818
808,68,68,0,0,3/8,4,1,1/4,,1/4,1,,-1,65,,817
809,68,68,0,0,3/8,3,1,1/8,,1/8,1,,2,74,,812
810,68,68,0,0,3/8,2,1,1/8,,1/8,1,,-2,82,,807
811,68,68,1/8,1/8,3/8,3,1,3/32,,1/16,3/2,,2,62,,813
812,68,68,1/8,1/8,3/8,2,1,3/32,,1/16,3/2,,-2,70,,808
813,68,68,7/32,7/32,3/8,3,1,1/32,,1/32,1,,0,60,,814
814,68,68,7/32,7/32,3/8,2,1,1/32,,1/32,1,,3,69,,809
815,68,68,1/4,1/4,3/8,3,1,3/32,,1/16,3/2,,2,62,,815
816,68,68,1/4,1/4,3/8,2,1,3/32,,1/16,3/2,,-2,70,,810
817,68,68,11/32,11/32,3/8,3,1,1/32,,1/32,1,,-3,63,,816
