Opera,Label,Aria,Basic_passion,PassionA,PassionB,Value,Value2,Time
Alessandro,Ale14M,,,,,,,
Alessandro,Ale15M,Dun_barbaro,wonder,veneration,,Positive,,Present
Alessandro,Ale16M,Digli_che,love,"love,veneration",,Positive,,Present
Alessandro,Ale17M,Destrier_che,hatred,"anger,boldness",,Negative,,Present
Alessandro,Ale18M,E_ver,wonder,"abjectness,boldness",,Negative,,Present
Alessandro,Ale19M,Se_e,wonder,esteem,,Positive,,Present
Alessandro,Ale20M,Se_il,sadness,"despair,sadness",,Negative,,Present
Alessandro,Ale21M,Se_viver,sadness,sadness,,Negative,,Present
Alessandro,Ale22M,Di_rendermi,sadness,"fear,hope",,Negative,,Future
Alessandro,Ale23M,Risveglia_lo,hatred,anger,,Negative,,Future
Alessandro,Ale24M,Se_troppo,sadness,"distaste,mockery",,Negative,,Future
Alessandro,Ale25M,Come_il,sadness,sadness,,Negative,,Present
Alessandro,Ale26M,Serbati_a,wonder,"contempt,pity",,Negative,,Future
Alessandro,Ale27M,Finche_rimango,sadness,repentance,,Negative,,Future
Alessandro,Ale28M,Dove_si,hatred,"jealousy,anger",,Negative,,Present
Alessandro,Ale29M,Mio_ben,love,"love,sadness",,Negative,,Future
Alessandro,Ale30M,Son_confusa,sadness,"fear,sadness",,Negative,,Present
Alessandro,Ale31M,Ombra_dell,sadness,"pity,despair",,Negative,,Present
Alessandro-Olimpiade,Ale67M-Oli21M,Non_so_donde,love,"love,pity",,Positive,,Future
Artaserse,Art01M,Conservati_fedele,love,"love,sadness",,Negative,,Future
Artaserse,Art02M,Fra_cento,hatred,terror,,Negative,,Present
Artaserse,Art03M,Su_le,hatred,"anger,abjectness",,Negative,,Future
Artaserse,Art04M,Per_pieta_bell,sadness,"sadness,love,irresolution",,Negative,,Present
Artaserse,Art05M,Sogna_il,desire,"desire,hope",,Negative,,Future
Artaserse,Art06M,Bramar_di,desire,"fear,generosity,love",,Negative,,Future
Artaserse,Art07M,Deh_respirar,desire,irresolution,,Negative,,Future
Artaserse,Art08M,Non_ti,wonder,"abjectness,contempt",,Negative,,Present
Artaserse,Art09M,Torna_innocente,wonder,"contempt,pity",,Negative,,Future
Artaserse,Art10M,Dimmi_che,hatred,anger,,Negative,,Present
Artaserse,Art11M,Vo_solcando,sadness,despair,,Negative,,Future
Artaserse,Art12M,Rendimi_il,love,"love,sadness",,Negative,,Future
Artaserse,Art13M,Mi_scacci,sadness,"despair,sadness",,Negative,,Present
Artaserse,Art14M,Amalo_e,wonder,"pride,abjectness",,Negative,,Present
Artaserse,Art15M,Non_temer_chio,desire,"desire,contempt",,Positive,,Future
Artaserse,Art16M,Se_dun,sadness,"pity,sadness,irresolution",,Negative,,Past
Artaserse,Art17M,,,,,,,
Artaserse,Art18M,Per quel paterno amplesso,love,generosity,,Positive,,Future
Artaserse,Art19M,Va_tra,hatred,anger,,Negative,,Present
Artaserse,Art20M,Per_quell,hatred,"anger,despair",,Negative,,Present
Artaserse,Art21M,Non_conosco,sadness,"pity,sadness",,Negative,,Past
