AriaId,Mode,Key,KeySignatureType,NumberOfParts,FamilyInstrumentation,Instrumentation,Tempo,TempoNumeric,TempoGrouped1,TempoGrouped2,TimeSignature,TimeSignatureGrouped,PartVoice_SyllabicRatio,Score_Density,Score_SoundingDensity,Score_Measures,Score_MeasuresMean,Label_Sentiment,Label_BasicPassion,Label_Passions,Label_Time,PartVoice_HighestNoteIndex,PartVoice_LowestNoteIndex,PartVoice_Density,PartVoice_SoundingDensity,PartVoice_IntervallicMean,PartVoice_IntervallicStd,PartVoice_IntervallicSkewness,PartVoice_IntervallicKurtosis,PartVoice_AbsoluteIntervallicMean,PartVoice_AbsoluteIntervallicStd,PartVoice_AbsoluteIntervallicSkewness,PartVoice_AbsoluteIntervallicKurtosis,PartVoice_IntervalsDiminishedAll,PartVoice_IntervalsMinorAll,PartVoice_IntervalsPerfectAll,PartVoice_IntervalsMajorAll,PartVoice_IntervalsAugmentedAll,PartVoice_LeapsAll,PartVoice_StepwiseMotionAll,PartVoice_RepeatedNotes,PartVnI_HighestNoteIndex,PartVnI_LowestNoteIndex,PartVnI_Density,PartVnI_SoundingDensity,PartVnI_IntervallicMean,PartVnI_IntervallicStd,PartVnI_IntervallicSkewness,PartVnI_IntervallicKurtosis,PartVnI_AbsoluteIntervallicMean,PartVnI_AbsoluteIntervallicStd,PartVnI_AbsoluteIntervallicSkewness,PartVnI_AbsoluteIntervallicKurtosis,PartVnI_IntervalsDiminishedAll,PartVnI_IntervalsMinorAll,PartVnI_IntervalsPerfectAll,PartVnI_IntervalsMajorAll,PartVnI_IntervalsAugmentedAll,PartVnI_LeapsAll,PartVnI_StepwiseMotionAll,PartVnI_RepeatedNotes,PartVnII_HighestNoteIndex,PartVnII_LowestNoteIndex,PartVnII_Density,PartVnII_SoundingDensity,PartVnII_IntervallicMean,PartVnII_IntervallicStd,PartVnII_IntervallicSkewness,PartVnII_IntervallicKurtosis,PartVnII_AbsoluteIntervallicMean,PartVnII_AbsoluteIntervallicStd,PartVnII_AbsoluteIntervallicSkewness,PartVnII_AbsoluteIntervallicKurtosis,PartVnII_IntervalsDiminishedAll,PartVnII_IntervalsMinorAll,PartVnII_IntervalsPerfectAll,PartVnII_IntervalsMajorAll,PartVnII_IntervalsAugmentedAll,PartVnII_LeapsAll,PartVnII_StepwiseMotionAll,PartVnII_RepeatedNotes,PartVa_HighestNoteIndex,PartVa_LowestNoteIndex,PartVa_Density,PartVa_SoundingDensity,PartVa_IntervallicMean,PartVa_IntervallicStd,PartVa_IntervallicSkewness,PartVa_IntervallicKurtosis,PartVa_AbsoluteIntervallicMean,PartVa_AbsoluteIntervallicStd,PartVa_AbsoluteIntervallicSkewness,PartVa_AbsoluteIntervallicKurtosis,PartVa_IntervalsDiminishedAll,PartVa_IntervalsMinorAll,PartVa_IntervalsPerfectAll,PartVa_IntervalsMajorAll,PartVa_IntervalsAugmentedAll,PartVa_LeapsAll,PartVa_StepwiseMotionAll,PartVa_RepeatedNotes,PartBs_HighestNoteIndex,PartBs_LowestNoteIndex,PartBs_Density,PartBs_SoundingDensity,PartBs_IntervallicMean,PartBs_IntervallicStd,PartBs_IntervallicSkewness,PartBs_IntervallicKurtosis,PartBs_AbsoluteIntervallicMean,PartBs_AbsoluteIntervallicStd,PartBs_AbsoluteIntervallicSkewness,PartBs_AbsoluteIntervallicKurtosis,PartBs_IntervalsDiminishedAll,PartBs_IntervalsMinorAll,PartBs_IntervalsPerfectAll,PartBs_IntervalsMajorAll,PartBs_IntervalsAugmentedAll,PartBs_LeapsAll,PartBs_StepwiseMotionAll,PartBs_RepeatedNotes
0156,major,C,n,5,str,"vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,1.3049645390070923,1.579245283018868,1.7365145228215768,530,106.0,Positive,desire,boldness,Future,74.0,59.0,0.8679245283018868,1.2432432432432432,-0.0272479564032697,4.2386871357852005,-0.293394209946725,1.176691189625699,3.1444141689373297,2.8377558135793874,1.5515190997882673,2.040167170869414,0.0,0.2861035422343324,0.2888283378746594,0.4250681198910082,0.0,0.3869209809264305,0.5177111716621253,0.0953678474114441,86,55,2.099056603773585,2.181372549019608,-0.0011248593925759,5.191707576712625,0.4550618378309169,2.8593827610654543,3.4971878515185604,3.8353269839619024,1.8989010524428416,4.055264065867355,0.0,0.2249718785151856,0.2620922384701912,0.5129358830146231,0.0,0.3464566929133858,0.5118110236220472,0.1417322834645669,81,55,1.912735849056604,1.987745098039216,-0.0049382716049382,4.013878926700715,0.0902580077666922,4.541363672711398,2.5185185185185186,3.124175485239877,2.2406982627144663,5.989554880610566,0.0,0.2888888888888888,0.3851851851851852,0.3259259259259259,0.0,0.3037037037037037,0.4234567901234567,0.2728395061728395,76,52,1.5943396226415094,1.656862745098039,-0.0118518518518518,3.960094936589645,-0.4660211881511265,3.2590732474677377,2.4,3.148642022767449,1.816355682344745,3.3040304665327858,0.0,0.1925925925925926,0.5007407407407407,0.3066666666666666,0.0,0.3081481481481481,0.3066666666666666,0.3851851851851852,62,40,1.4221698113207548,1.4779411764705883,-0.0132890365448504,5.99998525895411,-0.1539732670237439,0.3114373023952419,4.408637873754153,4.065903653256537,1.0222918614887946,-0.1804781003062752,0.0,0.1744186046511628,0.446843853820598,0.3770764119601329,0.0016611295681063,0.5199335548172758,0.3554817275747508,0.1245847176079734
0342,major,F,b,9,"ww,br,str","ob,hn,vn,va,bs",Andante,76.0,Andante,Moderate,2/4,simple duple,2.2339181286549707,2.125581395348837,2.269867549668874,645,129.0,Negative,wonder,"esteem,boldness",Future,83.0,62.0,1.4806201550387597,2.0760869565217392,0.0131233595800524,3.018772137633593,1.5626949372769965,5.582823535750967,2.2073490813648293,2.0561969382513325,3.093552438165259,15.432063160951646,0.0104986876640419,0.3569553805774278,0.1863517060367454,0.4435695538057743,0.0026246719160104,0.2545931758530184,0.6220472440944882,0.1233595800524934,86,57,2.8410852713178296,2.8410852713178296,-0.0163934426229508,4.072496802135549,1.521192288738251,6.713290956309937,2.546448087431694,3.176827170103912,2.8618361703725816,9.70986071933801,0.0013661202185792,0.3633879781420765,0.2896174863387978,0.3415300546448087,0.0040983606557377,0.3169398907103825,0.4685792349726776,0.2144808743169398,83,55,3.751937984496124,3.751937984496124,-0.0124095139607032,3.2842952557510308,0.9680667474922962,3.7134319812607712,2.415718717683557,2.2237381737317485,2.5224555797328363,9.423807021756016,0.0020682523267838,0.4426059979317476,0.2192347466390899,0.3288521199586349,0.0072388831437435,0.4229576008273009,0.40641158221303,0.170630816959669,72,48,1.313953488372093,1.3346456692913389,-0.0355029585798816,4.168403819101624,-0.193511544988804,2.844678562049781,2.366863905325444,3.4290212269531213,1.686261613992685,2.0204696211612694,0.0,0.1035502958579881,0.6863905325443787,0.2071005917159763,0.0029585798816568,0.2751479289940828,0.2455621301775148,0.4792899408284023,62,41,1.2403100775193798,1.2598425196850394,-0.0376175548589341,4.744261210335295,-0.1499596661929385,1.468149334706994,3.103448275862069,3.5843765660989386,1.2943237546551338,1.161973942520551,0.0,0.1128526645768025,0.6614420062695925,0.2225705329153605,0.0031347962382445,0.4326018808777429,0.2037617554858934,0.3636363636363636
0167,major,Bb,b,5,str,"vn,va,bs",Presto,132.0,Presto,Fast,4/4,simple duple,2.1727574750830563,1.607482993197279,1.6806543385490755,735,147.0,Negative,love,pity,Future,77.0,62.0,1.1122448979591837,1.4217391304347826,0.0,3.0682422377393626,0.4935583131126385,2.598131696939758,2.223583460949464,2.112392885693786,2.0663174309252925,5.320408762076864,0.004594180704441,0.3246554364471669,0.231240428790199,0.4333843797856049,0.006125574272588,0.2434915773353752,0.6049004594180705,0.1516079632465543,82,58,1.8605442176870748,1.8605442176870748,-0.000914913083257,5.424050961458343,0.3135582347431806,-0.1679761888698783,4.158279963403476,3.480402692156569,0.6646257598329385,-0.0870539207294087,0.0,0.1857273559011893,0.4226898444647758,0.3915827996340347,0.0,0.4995425434583714,0.3513266239707228,0.1491308325709057,82,58,1.8129251700680271,1.8129251700680271,-0.0009389671361502,4.938056056157392,0.4286668123450372,0.5663673242891294,3.608450704225352,3.369160772054813,1.0409935666373868,0.7868489211912544,0.0,0.2075117370892018,0.3887323943661971,0.4037558685446009,0.0,0.4234741784037558,0.4037558685446009,0.1727699530516432,74,48,1.663265306122449,1.663265306122449,0.0,3.8365690786276696,0.4056060379685575,3.072992999446134,2.032753326509724,3.2531434819086797,1.7117205728777063,1.969577022193025,0.0010235414534288,0.1228249744114636,0.714431934493347,0.157625383828045,0.0040941658137154,0.2456499488229273,0.2006141248720573,0.5537359263050153,58,36,1.58843537414966,1.58843537414966,0.007502679528403,3.1685396037004385,0.7372576328196978,7.105381107309279,1.452304394426581,2.8157145521933606,2.557272790300933,6.268032861462384,0.0010718113612004,0.1329046087888531,0.7331189710610932,0.1286173633440514,0.0042872454448017,0.1693461950696677,0.2143622722400857,0.6162915326902465
0389,major,G,s,5,str,"vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,1.6254826254826256,1.261111111111111,1.6963315217391306,495,99.0,Positive,desire,hope,Future,80.0,62.0,1.0631313131313131,1.7838983050847457,-0.0071428571428571,3.2291107901489315,-0.1587794550185717,2.4108901782233456,2.3833333333333333,2.175631657836581,2.0963066016775054,5.403638902305167,0.0023809523809523,0.2642857142857143,0.2285714285714285,0.5,0.0047619047619047,0.2523809523809524,0.6214285714285714,0.1261904761904762,84,55,1.345959595959596,1.7532894736842106,-0.0131578947368421,6.238346256839231,0.740197468271123,0.5984345254715469,5.0093984962406015,3.71157729820154,1.5047198685456558,3.256442618704705,0.0,0.343984962406015,0.2706766917293233,0.3778195488721804,0.0075187969924812,0.7462406015037594,0.2330827067669172,0.0206766917293233,84,55,1.345959595959596,1.7532894736842106,-0.0131578947368421,6.238346256839231,0.740197468271123,0.5984345254715469,5.0093984962406015,3.71157729820154,1.5047198685456558,3.256442618704705,0.0,0.343984962406015,0.2706766917293233,0.3778195488721804,0.0075187969924812,0.7462406015037594,0.2330827067669172,0.0206766917293233,72,55,0.8333333333333334,1.4224137931034482,0.0060790273556231,3.569000954161936,1.459496415259142,3.868466945368288,2.303951367781155,2.722761366892503,2.135278263735977,5.243254205847636,0.0,0.1854103343465045,0.4133738601823708,0.4012158054711246,0.0,0.2401215805471124,0.4832826747720364,0.2765957446808511,64,38,1.7171717171717171,1.7171717171717171,0.0029455081001472,5.193312313554019,0.0169705112387621,1.160953141757692,3.6759941089838,3.665738425809311,1.4088335711253253,1.0501111148996722,0.0029455081001472,0.3033873343151693,0.3711340206185567,0.3225331369661267,0.0,0.4359351988217967,0.4624447717231222,0.101620029455081
0625,major,G,s,6,str,"vn,va,bs",Larghetto,100.0,Larghetto,Slow,2/2,simple duple,1.4077380952380951,1.7136279926335176,1.8499005964214716,1086,181.0,Negative,sadness,"sadness,love",Future,79.0,62.0,1.3066298342541436,1.6310344827586207,0.0254237288135593,3.061886418538452,0.9466294293071548,2.80426466886156,2.1440677966101696,2.183806154454792,1.9913520420973152,4.996369317471381,0.0042372881355932,0.3813559322033898,0.2690677966101695,0.3432203389830508,0.0021186440677966,0.2754237288135593,0.5360169491525424,0.1885593220338983,86,55,2.18232044198895,2.206703910614525,0.0063371356147021,3.5990284070882,0.4389028868216643,4.416050183252334,2.3155893536121672,2.7539584456733635,2.2511598062546776,6.315986083646703,0.0038022813688212,0.3257287705956908,0.3548795944233207,0.3155893536121673,0.0,0.2712294043092522,0.4841571609632446,0.2446134347275031,83,55,2.091160220994475,2.1264044943820224,0.0198412698412698,4.302579294335305,0.6566325862654481,3.510352248794084,2.7923280423280423,3.2718740205198893,1.9823311257313816,4.825764465720497,0.0026455026455026,0.3201058201058201,0.3743386243386243,0.3029100529100529,0.0,0.3624338624338624,0.4007936507936508,0.2367724867724867,74,50,1.6961325966850829,1.7247191011235956,-0.0277324632952691,4.633377159498606,0.2680446171017669,2.3572365984829062,2.804241435562806,3.6867783933952114,1.528020515258403,1.883203244566249,0.0016313213703099,0.1353996737357259,0.6623164763458401,0.1908646003262642,0.0097879282218597,0.3719412724306688,0.2039151712887439,0.4241435562805872,62,38,1.6243093922651934,1.651685393258427,-0.0289608177172061,4.81757796518962,0.2459099447365911,1.894488066531757,3.057921635434412,3.7206257190543615,1.4189595105574655,1.5554914739979502,0.0017035775127768,0.151618398637138,0.6201022146507666,0.2146507666098807,0.0119250425894378,0.403747870528109,0.2333901192504258,0.3628620102214651
0338,major,D,s,9,"ww,br,str","ob,hn,vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,1.6496350364963503,1.4880681818181818,1.5950060901339829,880,176.0,Negative,hatred,anger,Present,69.0,50.0,0.6420454545454546,0.9658119658119658,0.0,3.6527006751473934,0.9627284927722805,2.5659340586178168,2.682926829268293,2.47550602530085,2.0868832807541486,5.877775372671449,0.0,0.3148558758314856,0.2195121951219512,0.4611973392461197,0.0044345898004434,0.352549889135255,0.5299334811529933,0.1175166297117516,86,57,1.8068181818181817,1.8068181818181817,0.0,3.455909010175785,-0.2931375886218595,6.2037749984978365,2.21243115656963,2.654166771357465,2.6414201850544283,9.988114107040758,0.003933910306845,0.2974036191974823,0.3627065302911094,0.3351691581431943,0.000786782061369,0.3186467348544453,0.3941778127458694,0.2871754523996853,85,55,2.2798295454545454,2.2798295454545454,0.0,3.742990954449457,1.2356444290788555,7.062212106943143,2.5623441396508726,2.7276872933087333,3.134703898814485,14.8171056727194,0.0024937655860349,0.2793017456359102,0.2992518703241895,0.4183291770573566,0.0006234413965087,0.3765586034912718,0.4332917705735661,0.1901496259351621,74,49,1.3991477272727273,1.3991477272727273,0.0,3.0592653989612915,-0.1932392112997756,4.090473345935728,1.8434959349593496,2.44073150275672,1.936744221842175,4.894226190461473,0.0010162601626016,0.2032520325203252,0.5467479674796748,0.2459349593495935,0.0030487804878048,0.2835365853658536,0.2713414634146341,0.4451219512195122,64,42,1.3125,1.3125,0.0,2.94158603758005,-0.3223158020755807,4.038140515648417,1.7464788732394363,2.3663118415344475,1.8697627437893671,4.714944553361473,0.0010834236186348,0.1971830985915492,0.5828819068255688,0.2145178764897074,0.0043336944745395,0.2838569880823402,0.2394366197183098,0.4767063921993499
0059,major,G,s,5,str,"vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,2.04635761589404,1.9685344827586209,2.106549815498155,580,116.0,Negative,hatred,anger,Present,79.0,59.0,1.331896551724138,1.7965116279069768,-0.0048622366288492,4.841813517521919,-0.0433178594985235,-0.1855796873568245,3.940032414910859,2.8096486121262374,0.989183029440704,0.5712093336013577,0.0097244732576985,0.2787682333873582,0.3063209076175041,0.3938411669367909,0.0113452188006482,0.5834683954619124,0.3695299837925446,0.0470016207455429,86,57,2.396551724137931,2.43859649122807,-0.0018001800180018,5.286221798276775,0.5176724643014188,2.421571176848788,3.5967596759675966,3.872442292747665,1.7984887197244914,3.212764201950969,0.0099009900990099,0.3978397839783978,0.1926192619261926,0.3978397839783978,0.0018001800180018,0.3438343834383438,0.5994599459945995,0.0567056705670567,83,55,2.4375,2.4802631578947367,-0.0008849557522123,5.191206634279856,0.5139194330077718,2.1936657345780235,3.680530973451328,3.659278666014653,1.8181426827160052,3.616118126939477,0.011504424778761,0.2256637168141592,0.1902654867256637,0.5628318584070796,0.0044247787610619,0.336283185840708,0.6008849557522123,0.0628318584070796,76,48,1.8405172413793105,1.87280701754386,-0.0093786635404454,7.267033169895479,0.1055874991245586,0.016559339082367,5.819460726846424,4.347871552011029,1.0732683977320128,0.8093680744829124,0.0082063305978898,0.1910902696365768,0.4677608440797186,0.3259085580304806,0.0046893317702227,0.7209847596717468,0.2555685814771395,0.0234466588511137,69,38,1.836206896551724,1.868421052631579,-0.0199764982373678,7.430039220823564,-0.0182031102091311,-0.4528580528875823,6.071680376028202,4.277523678493583,0.7500677853402892,-0.2438936854635067,0.008225616921269,0.209165687426557,0.4665099882491186,0.309048178613396,0.0047003525264394,0.7285546415981199,0.2526439482961222,0.0188014101057579
0086,major,Eb,b,5,str,"vn,va,bs",Gustoso,,Gustoso,Moderate,2/2,simple duple,1.918088737201365,2.254140127388535,2.3406084656084656,785,157.0,Negative,sadness,"sadness,generosity",Past,78.0,62.0,1.7898089171974525,2.1953125,-0.0035650623885918,3.692171464704366,0.6607623125091551,2.433186985134764,2.4741532976827094,2.7385721067009925,1.7990874490790731,2.860497324286838,0.0124777183600713,0.392156862745098,0.2406417112299465,0.3155080213903743,0.0392156862745098,0.2584670231729055,0.5775401069518716,0.1639928698752228,82,55,3.1082802547770703,3.1082802547770703,0.0071794871794871,4.00525190941781,0.4885464483067394,3.053723889527088,2.8584615384615386,2.8040868700619623,2.0136359379025106,6.674884390886037,0.0092307692307692,0.3517948717948718,0.3158974358974359,0.3015384615384615,0.0215384615384615,0.4441025641025641,0.3866666666666666,0.1692307692307692,82,55,2.9426751592356686,2.9426751592356686,0.0010834236186348,4.041943718082665,0.37754704744032,2.4992879357234816,2.9024918743228603,2.8113544702444413,1.825101809594762,5.416347882356719,0.0130010834236186,0.3813651137594799,0.3304442036836403,0.256771397616468,0.018418201516793,0.4875406283856988,0.3304442036836403,0.1820151679306609,74,51,1.7070063694267517,1.7070063694267517,0.0093457943925233,4.11422882016748,0.5260754565945542,2.6831220308166257,2.338317757009346,3.3836366774166238,1.6157365207656458,1.8626970526209368,0.0037383177570093,0.1626168224299065,0.6355140186915887,0.1757009345794392,0.022429906542056,0.2934579439252336,0.2336448598130841,0.4728971962616822,62,38,1.7229299363057324,1.7229299363057324,-0.0055555555555555,4.375039535116006,-0.5961816957229219,2.4105128018814,2.509259259259259,3.582309063410829,1.5392048433031558,1.5361155835634488,0.0037037037037037,0.1388888888888889,0.7148148148148148,0.1203703703703703,0.0222222222222222,0.3166666666666666,0.2055555555555555,0.4777777777777778
0570,minor,f,b,7,"ww,str","ob,vn,va,bs",Allegro,120.0,Allegro,Fast,4/4,simple duple,1.3446153846153843,1.4829166666666669,1.510611205432937,600,120.0,Negative,hatred,"anger,despair",Future,80.0,63.0,0.9104166666666668,1.0022935779816513,-0.0114678899082568,3.558038546743978,-0.451348712367161,3.087259558554852,2.318807339449541,2.696394263190511,1.97556779037297,3.673185720084316,0.0137614678899082,0.4105504587155963,0.3096330275229357,0.2660550458715596,0.0,0.2385321100917431,0.5688073394495413,0.1926605504587156,84,56,2.00625,2.00625,0.0166320166320166,4.910831737447458,-1.8820291057533085,5.373868509621383,2.997920997920998,3.888401045002981,2.406177465944328,6.890553600264132,0.0093555093555093,0.340956340956341,0.3638253638253638,0.2817047817047817,0.0041580041580041,0.3898128898128898,0.3544698544698544,0.2557172557172557,84,56,2.052083333333333,2.052083333333333,0.0071138211382113,4.719060526368359,-2.2576192564573523,7.149229156979537,2.7530487804878048,3.831787437752323,2.755344663805292,9.026653773811857,0.0121951219512195,0.3455284552845528,0.383130081300813,0.2520325203252032,0.0071138211382113,0.3770325203252032,0.3343495934959349,0.2886178861788618,72,53,1.2333333333333334,1.2333333333333334,0.0,3.849719338218157,-1.028797070250018,4.324091061474961,2.467005076142132,2.953626498019798,2.234967782894152,5.9826358209756165,0.0,0.3028764805414551,0.3857868020304568,0.3062605752961083,0.0050761421319796,0.3401015228426396,0.3959390862944162,0.2639593908629442,61,41,1.2125,1.2125,0.0,3.7143709728752095,-1.272257996790901,4.784902281053081,2.3407917383821,2.882325221486012,2.3132957998297936,6.547817248672207,0.0,0.2788296041308089,0.4320137693631669,0.2839931153184165,0.0051635111876075,0.3218588640275387,0.3889845094664372,0.2891566265060241
0525,major,C,n,6,"ww,str","ob,vn,va,bs",Andante affettuoso,70.0,Andante,Moderate,4/4,simple duple,3.0148698884758365,1.152139037433155,1.2555361305361306,935,187.0,Negative,sadness,"despair,sadness",Future,83.0,62.0,1.0842245989304813,1.513059701492537,0.0061728395061728,2.797440366293744,1.2408073263789172,2.819528253528266,2.0901234567901232,1.8578736957973288,2.3448364709216145,7.20249298866516,0.0135802469135802,0.3432098765432099,0.1567901234567901,0.4864197530864197,0.0,0.1938271604938271,0.6901234567901234,0.1160493827160493,84,60,1.324866310160428,1.4157142857142857,0.007070707070707,3.886528872723598,0.9802999752034136,6.255493452643055,2.203030303030303,3.2010790188347387,2.528009431265496,7.095572975444103,0.0,0.2393939393939393,0.4373737373737373,0.3232323232323232,0.0,0.2181818181818181,0.4242424242424242,0.3575757575757576,81,59,1.324866310160428,1.4157142857142857,0.0111111111111111,3.2294896524600585,1.282451337037835,6.175663996410288,1.8434343434343436,2.651045222496451,2.4811072660329723,7.203248241554055,0.0,0.2343434343434343,0.4545454545454545,0.3111111111111111,0.0,0.2,0.404040404040404,0.3959595959595959,72,50,1.0133689839572193,1.0133689839572193,-0.0158520475561426,4.289122728137179,-0.5782070870139494,2.204115241114056,2.5310435931307795,3.461527111148896,1.441977507498702,1.5687379890606534,0.0026420079260237,0.0700132100396301,0.8058124174372523,0.1215323645970938,0.0,0.3645970937912813,0.1175693527080581,0.5178335535006605,60,38,1.0133689839572193,1.0133689839572193,-0.0066050198150594,4.349628545671306,-0.6099835578193112,2.098460129935985,2.5799207397622195,3.5006452155176246,1.4123875404096229,1.4357237913024044,0.0026420079260237,0.0700132100396301,0.8071334214002642,0.1202113606340819,0.0,0.368560105680317,0.11889035667107,0.512549537648613
