AriaId,Mode,Key,KeySignatureType,NumberOfParts,FamilyInstrumentation,Instrumentation,Tempo,TempoNumeric,TempoGrouped1,TempoGrouped2,TimeSignature,TimeSignatureGrouped,PartVoice_SyllabicRatio,Score_Density,Score_SoundingDensity,Score_Measures,Score_MeasuresMean,Label_Sentiment,Label_BasicPassion,Label_Passions,Label_Time,PartVoice_HighestNoteIndex,PartVoice_LowestNoteIndex,PartVoice_Density,PartVoice_SoundingDensity,PartVoice_IntervallicMean,PartVoice_IntervallicStd,PartVoice_IntervallicSkewness,PartVoice_IntervallicKurtosis,PartVoice_AbsoluteIntervallicMean,PartVoice_AbsoluteIntervallicStd,PartVoice_AbsoluteIntervallicSkewness,PartVoice_AbsoluteIntervallicKurtosis,PartVoice_IntervalsDiminishedAll,PartVoice_IntervalsMinorAll,PartVoice_IntervalsPerfectAll,PartVoice_IntervalsMajorAll,PartVoice_IntervalsAugmentedAll,PartVoice_LeapsAll,PartVoice_StepwiseMotionAll,PartVoice_RepeatedNotes,PartVnI_HighestNoteIndex,PartVnI_LowestNoteIndex,PartVnI_Density,PartVnI_SoundingDensity,PartVnI_IntervallicMean,PartVnI_IntervallicStd,PartVnI_IntervallicSkewness,PartVnI_IntervallicKurtosis,PartVnI_AbsoluteIntervallicMean,PartVnI_AbsoluteIntervallicStd,PartVnI_AbsoluteIntervallicSkewness,PartVnI_AbsoluteIntervallicKurtosis,PartVnI_IntervalsDiminishedAll,PartVnI_IntervalsMinorAll,PartVnI_IntervalsPerfectAll,PartVnI_IntervalsMajorAll,PartVnI_IntervalsAugmentedAll,PartVnI_LeapsAll,PartVnI_StepwiseMotionAll,PartVnI_RepeatedNotes,PartBs_HighestNoteIndex,PartBs_LowestNoteIndex,PartBs_Density,PartBs_SoundingDensity,PartBs_IntervallicMean,PartBs_IntervallicStd,PartBs_IntervallicSkewness,PartBs_IntervallicKurtosis,PartBs_AbsoluteIntervallicMean,PartBs_AbsoluteIntervallicStd,PartBs_AbsoluteIntervallicSkewness,PartBs_AbsoluteIntervallicKurtosis,PartBs_IntervalsDiminishedAll,PartBs_IntervalsMinorAll,PartBs_IntervalsPerfectAll,PartBs_IntervalsMajorAll,PartBs_IntervalsAugmentedAll,PartBs_LeapsAll,PartBs_StepwiseMotionAll,PartBs_RepeatedNotes
0347,major,C,n,9,"ww,br,str","ob,hn,vn,va,bs",Adagio,66.0,Adagio,Slow,2/4,simple duple,1.1161290322580646,2.0482758620689654,2.167883211678832,725,145.0,Negative,sadness,pity,Future,67.0,52.0,1.193103448275862,1.4786324786324787,0.0,3.771064867190452,0.1068328880750216,0.3518463237658689,2.9855072463768115,2.2982093232987584,1.2739753702594916,1.64998655342756,0.0028985507246376,0.2753623188405797,0.2811594202898551,0.4405797101449275,0.0,0.4057971014492754,0.518840579710145,0.0753623188405797,86,55,2.313793103448276,2.329861111111111,0.0074626865671641,6.269598591386123,0.1355780884733273,4.398512506130151,3.783582089552239,4.997102210054897,2.225915126938512,4.813517040776579,0.0044776119402985,0.2029850746268656,0.4686567164179104,0.3238805970149254,0.0,0.4149253731343283,0.3313432835820895,0.2537313432835821,60,43,2.103448275862069,2.1631205673758864,-0.0197044334975369,3.131378633978789,-0.1660613143981027,2.52322498724185,1.9540229885057472,2.445697297133785,1.549418895180225,2.65400311581986,0.0049261083743842,0.1379310344827586,0.6206896551724138,0.2364532019704433,0.0,0.2594417077175698,0.3152709359605911,0.425287356321839
0071,major,F,b,5,str,"vn,va,bs",Presto,108.0,Presto,Fast,3/8,simple triple,1.528813559322034,0.8954822954822955,0.9747474747474748,1365,273.0,Positive,desire,hope,Future,79.0,60.0,0.5506715506715507,0.8948412698412699,0.0,3.808325190584216,0.438878304821568,3.330412876020983,2.6444444444444444,2.7376412355837685,2.369392033251267,5.055670507190884,0.0,0.3177777777777777,0.1577777777777777,0.5155555555555555,0.0088888888888888,0.1977777777777777,0.7422222222222222,0.06,82,59,1.0488400488400489,1.0604938271604938,0.0023310023310023,3.8093411163810713,0.4758448874481455,3.9480928944473552,2.5058275058275057,2.8678540358040863,2.390285163393895,5.103241431324015,0.0,0.3053613053613053,0.1993006993006993,0.4953379953379953,0.0,0.162004662004662,0.7296037296037297,0.1083916083916083,65,36,0.9145299145299144,0.9145299145299144,-0.0066844919786096,4.182094582515869,0.0415182961838031,3.762104983442045,2.394385026737968,3.427711390660009,1.960401198155833,3.3321732128407966,0.0,0.2018716577540107,0.5294117647058824,0.2647058823529412,0.0040106951871657,0.2713903743315508,0.3422459893048128,0.3863636363636363
0171,major,F,b,9,"ww,br,str","ob,hn,vn,va,bs",Allegro e staccato,120.0,Allegro,Fast,4/4,simple duple,1.6127886323268206,1.1976190476190476,1.362291666666667,1365,273.0,Positive,desire,"pride,boldness",Future,70.0,48.0,0.8315018315018315,1.1019417475728157,0.0,4.394959987210717,0.2212844437111913,1.392101224489795,3.18632855567806,3.025190500649703,1.591263890348285,1.960294960785224,0.0099228224917309,0.3241455347298787,0.2601984564498346,0.4002205071664829,0.0055126791620727,0.4013230429988975,0.4961411245865491,0.1025358324145534,86,55,1.782967032967033,1.829887218045113,0.0,4.519367064450405,0.6997817801289616,5.372134508788919,2.894141829393628,3.4704920801795143,2.6432470790333995,7.59761924656229,0.0077081192189105,0.3170606372045221,0.2276464542651593,0.4450154162384378,0.0025693730729701,0.2990750256937307,0.566289825282631,0.1346351490236382,62,39,0.8141025641025641,0.9621212121212122,0.0078828828828828,8.678196760139093,0.0751714830364476,-0.7648803201941061,6.737612612612613,5.4648475636316025,0.1898573999955284,-1.1676655519481711,0.0033783783783783,0.1677927927927928,0.6925675675675675,0.1272522522522522,0.009009009009009,0.6824324324324325,0.1013513513513513,0.2162162162162162
0048,major,D,s,9,"ww,br,str","fl,hn,vn,va,bs",ND,,ND,nd,3/8,simple triple,1.351351351351351,0.8293532338308457,0.8736897274633123,670,134.0,Negative,sadness,"sadness,love",Future,76.0,59.0,0.8706467661691543,0.9971509971509972,-0.0143266475644699,3.4503574555624934,0.1045995840839955,1.862443398945672,2.495702005730659,2.378811855103031,1.8158361639275824,3.0413542448870583,0.0200573065902578,0.318051575931232,0.1948424068767908,0.4613180515759312,0.0057306590257879,0.2464183381088825,0.6475644699140402,0.1060171919770773,86,57,1.0248756218905473,1.0248756218905473,0.0170316301703163,5.41292058098678,0.8173176962299062,4.11331006021665,3.5255474452554743,4.103681200421724,2.32049692879934,5.5935465119767525,0.0170316301703163,0.3017031630170316,0.1970802919708029,0.4793187347931874,0.0048661800486618,0.3284671532846715,0.5912408759124088,0.0802919708029197,62,38,0.7114427860696517,0.7447916666666666,-0.0175438596491228,5.10692442128572,-0.1766721312425754,1.284048995245203,3.4350877192982456,3.77354072289523,1.3675030738426537,0.7105283924040249,0.0070175438596491,0.2526315789473684,0.4280701754385965,0.2842105263157894,0.0280701754385964,0.3649122807017544,0.4666666666666667,0.1684210526315789
0031,major,G,s,7,"ww,str","fl,vn,va,bs",ND,,ND,nd,2/4,simple duple,1.792156862745098,1.6047297297297298,1.8525741029641187,740,148.0,Negative,sadness,"sadness,love",Future,79.0,61.0,1.5439189189189189,1.7992125984251968,-0.0263157894736842,3.0604475039173047,0.3620148687197166,3.765467994314176,2.179824561403509,2.145915817181182,2.464541931131468,7.640168459474491,0.0,0.3201754385964912,0.2083333333333333,0.4714912280701754,0.0,0.2105263157894736,0.6447368421052632,0.1447368421052631,86,55,2.0304054054054053,2.3661417322834644,-0.02,4.329068574709911,1.121157239256193,5.235368805891916,2.6933333333333334,3.3874888472198625,2.511998328365152,6.715077851268486,0.0,0.2683333333333333,0.2816666666666667,0.45,0.0,0.225,0.5916666666666667,0.1833333333333333,62,38,1.3614864864864864,1.55,-0.0024875621890547,6.411686165306951,0.2166248655191789,0.4036587564988125,4.485074626865671,4.576425127981766,0.9129568630905636,-0.1752047846364703,0.0024875621890547,0.1616915422885572,0.6467661691542289,0.1641791044776119,0.0248756218905472,0.5497512437810945,0.181592039800995,0.2686567164179104
0143,major,A,s,5,str,"vn,va,bs",Spiritoso,120.0,Spiritoso,Fast,2/2,simple duple,2.358649789029536,1.8798882681564248,2.017386091127098,895,179.0,Positive,desire,hope,Future,81.0,64.0,1.5614525139664803,2.18359375,-0.003584229390681,3.009855991694333,0.2102436868801138,2.0416567800530245,2.2222222222222223,2.027833454170628,1.8879341940604788,4.515947470010356,0.0,0.3028673835125448,0.2275985663082437,0.4695340501792114,0.0,0.2383512544802867,0.6254480286738351,0.1362007168458781,86,59,2.26536312849162,2.290960451977401,0.0074074074074074,4.032003546955839,0.2890734694920831,3.341699861336489,2.8493827160493828,2.850980507360121,2.3071816526293887,6.14794159623062,0.0012345679012345,0.3592592592592593,0.1888888888888888,0.4506172839506173,0.0,0.3716049382716049,0.5333333333333333,0.0950617283950617,61,40,1.6424581005586592,1.6610169491525424,-0.0289608177172061,4.304634312378759,0.299524774799492,1.8280062641181472,2.79557069846678,3.27141630615093,1.405194827946736,1.7186615550179385,0.0,0.1822827938671209,0.5894378194207837,0.2265758091993185,0.0017035775127768,0.3816013628620102,0.2691652470187393,0.3492333901192504
