,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
50,21,21,20,3/4,3/4,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
51,22,22,21,0,0,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
52,22,22,21,1/4,1/4,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
53,22,22,21,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
54,23,23,22,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
55,23,23,22,1/4,1/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
56,23,23,22,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
57,23,23,22,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
58,24,24,23,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
59,24,24,23,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
60,24,24,23,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
61,25,25,24,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
62,26,26,25,0,0,4/4,1,1,ii2,,G,V,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
63,26,26,25,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
64,27,27,26,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
65,27,27,26,1/4,1/4,4/4,1,1,viio6,,G,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
66,27,27,26,1/2,1/2,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
67,27,27,26,5/8,5/8,4/4,1,1,V6,,G,V,,V6,,V,,6,,,,M,False,False,"(5, 2, 1)",(),1,5
68,27,27,26,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
69,27,27,26,7/8,7/8,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
70,28,28,27,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
71,28,28,27,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
72,28,28,27,1/2,1/2,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
73,28,28,27,5/8,5/8,4/4,1,1,viio,,G,V,,viio,,vii,o,,,,,o,False,False,"(5, 2, -1)",(),5,5
74,28,28,27,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
75,28,28,27,7/8,7/8,4/4,1,1,I6,,G,V,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
76,29,29,28,0,0,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
77,29,29,28,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
78,29,29,28,1/2,1/2,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
79,29,29,28,5/8,5/8,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
80,30,30,29,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
81,30,30,29,1/4,1/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
82,30,30,29,1/2,1/2,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
83,30,30,29,3/4,3/4,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
84,31,31,30,0,0,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
85,31,31,30,1/2,1/2,4/4,1,1,I,,G,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
86,31,31,30,7/8,7/8,4/4,1,1,IV,,G,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
87,32,32,31,0,0,4/4,1,1,V(64),,G,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
88,32,32,31,1/4,1/4,4/4,1,1,V,,G,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
89,32,32,31,1/2,1/2,4/4,1,1,I\\,,G,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
90,32,32,31,3/4,3/4,4/4,1,1,},,G,V,,,,,,,,,},,False,False,,,,
91,33,33,32,0,0,4/4,1,1,I{,,G,V,,I,,I,,,,,{,M,False,False,"(0, 4, 1)",(),0,0
92,33,33,32,1/2,1/2,4/4,1,1,V7/IV,,G,V,,V7/IV,,V,,7,,IV,,Mm7,False,False,"(0, 4, 1, -2)",(),0,0
93,33,33,32,3/4,3/4,4/4,1,1,IV64,,G,V,,IV64,,IV,,64,,,,M,False,False,"(0, -1, 3)",(),-1,0
