,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
202,9,9,77,0,0,4/4,1,1,V7,,G,I,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
203,9,9,77,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
204,10,10,78,0,0,4/4,1,1,ii2,,G,I,,ii2,,ii,,2,,,,mm7,False,False,"(0, 2, -1, 3)",(),2,0
205,10,10,78,1/2,1/2,4/4,1,1,I,,G,I,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
206,11,11,79,0,0,4/4,1,1,IV,,G,I,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
207,11,11,79,1/4,1/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
208,11,11,79,1/2,1/2,4/4,1,1,I6,,G,I,,I6,,I,,6,,,,M,False,False,"(4, 1, 0)",(),0,4
209,12,12,80,1/2,1/2,4/4,1,1,V(64),,G,I,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
210,12,12,80,3/4,3/4,4/4,1,1,V,,G,I,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
211,13,13,81,0,0,4/4,1,1,I\\,,G,I,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
