,AriaOpera,AriaLabel,AriaId,AriaName,Composer,Year,Decade,Act,Scene,ActAndScene,FileName,Librettist,Form,Character,Gender,RoleType,City,Territory,Clef1,Clef2,Clef3,Key,KeySignature,KeySignatureType,Mode,Tempo,TimeSignature,TimeSignatureGrouped,TempoGrouped1,TempoGrouped2,Scoring,FamilyScoring,Total analysed,A-4,A1,A4,M-2,M-3,M-6,M-7,M10,M2,M3,M6,M9,P-11,P-4,P-5,P-8,P1,P11,P4,P5,P8,d-3,d-5,d1,d5,m-2,m-3,m-6,m-7,m2,m3,m6,m7
0,Dem,Dem02M,0417,In_te,Antonio Caldara,1733,1730s,1,02,102,Dem02M-In_te-1733-Caldara[1.02][0417].xml,Pietro Metastasio,Da capo,Dircea,Female,Female lover 1,Vienna,Empire,C-1,,,Bb,bb,b,major,Andante e amoroso,3/8,simple triple,Andante,Moderate,"sop,vnI,vnII,va,bs","voice,str",1.0,,,,122,5,2,,,140,4,4,,,8,6,2,86,,6,5,2,4.0,2,2.0,,70,7,3,,89,5,,
1,Dem,Dem01M,0430,O_piu,Leonardo Leo,1735,1730s,1,01,101,Dem01M-O_piu-1735-Leo[1.01][0430].xml,Pietro Metastasio,Da capo,Matusio,Male,Antagonist,Naples,Italy,C-4,,,G,s,s,major,Allegro,4/4,simple duple,Allegro,Fast,"obI,obII,hnI,hnII,ten,vnI,vnII,va,bs","ww,br,voice,str",1.0,12.0,4.0,4.0,94,82,14,1.0,3.0,76,30,36,3.0,2.0,36,45,17,177,2.0,27,41,12,,2,,12.0,86,79,6,4.0,41,40,26.0,14.0
