Act,ActAndScene,AriaId,AriaLabel,AriaName,AriaOpera,Character,City,Clef1,Clef2,Clef3,Composer,Decade,FamilyBr_NumberOfFilteredParts,FamilyBr_NumberOfParts,FamilyInstrumentation,FamilyScoring,FamilyStr_NumberOfFilteredParts,FamilyStr_NumberOfParts,FamilyVoice_NumberOfFilteredParts,FamilyVoice_NumberOfParts,FamilyWw_NumberOfFilteredParts,FamilyWw_NumberOfParts,FileName,Form,Gender,Instrumentation,Label_BasicPassion,Label_Passions,Label_Sentiment,Label_Time,Librettist,NumberOfBeats,NumberOfParts,NumericTempo,PartSop_Lyrics,PartSop_Notes,PartSop_SyllabicRatio,PartTen_Lyrics,PartTen_Notes,PartTen_SyllabicRatio,RoleType,Scene,Score_Lyrics,Score_Notes,Score_SyllabicRatio,Scoring,SoundBs_NumberOfFilteredParts,SoundBs_NumberOfParts,SoundHn_NumberOfFilteredParts,SoundHn_NumberOfParts,SoundOb_NumberOfFilteredParts,SoundOb_NumberOfParts,SoundScoring,SoundSop_NumberOfFilteredParts,SoundSop_NumberOfParts,SoundTen_NumberOfFilteredParts,SoundTen_NumberOfParts,SoundVa_NumberOfFilteredParts,SoundVa_NumberOfParts,SoundVn_NumberOfFilteredParts,SoundVn_NumberOfParts,Tempo,TempoGrouped1,TempoGrouped2,Territory,TimeSignature,TimeSignatureGrouped,Voices,Year
1,102,0417,Dem02M,In_te,Dem,Dircea,Vienna,C-1,,,Antonio Caldara,1730s,,,str,"voice,str",4,4,1,1,,,Dem02M-In_te-1733-Caldara[1.02][0417].xml,Da capo,Female,"vn,va,bs",desire,hope,Positive,Future,Pietro Metastasio,3,5,76,257.0,371.0,1.443579766536965,,,,Female lover 1,02,257,371,1.443579766536965,"sop,vnI,vnII,va,bs",1,1,,,,,"sop,vn,va,bs",1.0,1.0,,,1,1,2,2,Andante e amoroso,Andante,Moderate,Empire,3/8,simple triple,sop,1733
1,101,0430,Dem01M,O_piu,Dem,Matusio,Naples,C-4,,,Leonardo Leo,1730s,0.0,2.0,"ww,br,str","ww,br,voice,str",4,4,1,1,0.0,2.0,Dem01M-O_piu-1735-Leo[1.01][0430].xml,Da capo,Male,"ob,hn,vn,va,bs",desire,"boldness,love",Positive,Future,Pietro Metastasio,4,9,120,,,,201.0,242.0,1.2039800995024876,Antagonist,01,201,242,1.2039800995024876,"obI,obII,hnI,hnII,ten,vnI,vnII,va,bs",1,1,0.0,2.0,0.0,2.0,"ob,hn,ten,vn,va,bs",,,1.0,1.0,1,1,2,2,Allegro,Allegro,Fast,Italy,4/4,simple duple,ten,1735
