,mc,mn,playthrough,mc_onset,mn_onset,timesig,staff,voice,label,alt_label,offset_x,offset_y,offset,globalkey,localkey,pedal,chord,special,numeral,form,figbass,changes,relativeroot,phraseend,chord_type,globalkey_is_minor,localkey_is_minor,chord_tones,added_tones,root,bass_note
163,10,10,108,1/8,1/8,3/8,1,1,}{,,,,,Bb,I,,,,,,,,,}{,,False,False,,,,
164,11,11,109,0,0,3/8,1,1,V.I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
165,11,11,109,1/4,1/4,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
166,12,12,110,0,0,3/8,1,1,V(64),,-0.481955,-5.82102,/,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
167,12,12,110,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
168,13,13,111,0,0,3/8,1,1,IV,,,,,Bb,V,,IV,,IV,,,,,,M,False,False,"(-1, 3, 0)",(),-1,-1
169,13,13,111,1/8,1/8,3/8,1,1,V65,,,,,Bb,V,,V65,,V,,65,,,,Mm7,False,False,"(5, 2, -1, 1)",(),1,5
170,14,14,112,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
171,14,14,112,1/8,1/8,3/8,1,1,}{,,,,,Bb,V,,,,,,,,,}{,,False,False,,,,
172,15,15,113,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
173,16,16,114,0,0,3/8,1,1,viio6,,,,,Bb,V,,viio6,,vii,o,6,,,,o,False,False,"(2, -1, 5)",(),5,2
174,16,16,114,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
175,17,17,115,0,0,3/8,1,1,V2/V,,,,,Bb,V,,V2/V,,V,,2,,V,,Mm7,False,False,"(0, 2, 6, 3)",(),2,0
176,17,17,115,1/4,1/4,3/8,1,1,V6,,,,,Bb,V,,V6,,V,,6,,,,M,False,False,"(5, 2, 1)",(),1,5
177,18,18,116,0,0,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
178,18,18,116,1/8,1/8,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
179,18,18,116,1/4,1/4,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
180,19,19,117,0,0,3/8,1,1,I\\,,,,,Bb,V,,I,,I,,,,,\\,M,False,False,"(0, 4, 1)",(),0,0
181,19,19,117,1/8,1/8,3/8,1,1,I,,,,,Bb,V,,I,,I,,,,,,M,False,False,"(0, 4, 1)",(),0,0
182,20,20,118,0,0,3/8,1,1,V(64),,,,,Bb,V,,V(64),,V,,,64,,,M,False,False,"(1, 0, 4)",(),1,1
183,20,20,118,1/8,1/8,3/8,1,1,V,,,,,Bb,V,,V,,V,,,,,,M,False,False,"(1, 5, 2)",(),1,1
184,21,21,119,0,0,3/8,1,1,V7,,,,,Bb,V,,V7,,V,,7,,,,Mm7,False,False,"(1, 5, 2, -1)",(),1,1
