Label,Basic_passion,Passion,Value,Time
Did12M,hatred,"anger,pity",Negative,Future
Did13M,desire,irresolution,Negative,Future
Did14M,desire,"abjectness,hope",Negative,Future
Did15M,desire,"pride,boldness",Positive,Future
Did16M,sadness,pity,Negative,Future
Did17M,desire,hope,Positive,Future
Did18M,sadness,"sadness,love",Negative,Future
Did19M,wonder,"generosity,contempt",Positive,Future
Did20M,desire,boldness,Positive,Future
Did21M,wonder,"sadness,esteem",Positive,Future
Did22M,desire,boldness,Positive,Future
Did23M,love,pity,Negative,Future
Did24M,hatred,anger,Negative,Present
Did25M,sadness,"sadness,fear",Negative,Future
Did26M,wonder,"contempt,pride",Negative,Future
DId27M,hatred,anger,Negative,Future
Did28M,sadness,"repentance,shame",Negative,Past
Did29M,joy,"pride,boldness",Positive,Future
Did30M,sadness,"despair,sadness",Negative,Future
Did31M,sadness,despair,Negative,Future
Did32M,sadness,"pity,esteem",Negative,Future
Did33M,hatred,contempt,Negative,Future
