AriaId,EndOfThemeA
0527,50
0528,122
0529,110
0530,79
0531,46
0532,97
0533,131
0534,93
0535,65
0536,74
0537,103
0538,112
0539,67
0540,103
0541,110
0542,60
0543,42
0544,45
0545,49
0546,"24,5"
0547,127
0548,37
0549,81
0550,95
0551,112
0552,64
0553,"51,5"
0554,100
0555,91
0556,80
0557,102
0558,"56,5"
0559,"73,5"
0560,88
0561,118
0562,77
0563,113
0564,102
0565,77
0566,101
0567,66
0568,125
0569,76
0570,51
0571,120
0572,77
0573,121
0574,98
0575,69
0576,78
0577,114
0578,70
0579,45
0580,111
0581,142
0582,82
0583,167
0584,121
0585,118
0586,99
0587,100
0588,125
0589,126
0590,105
0591,81
0592,74
0593,107
0594,152
0595,113
0596,151
0597,97
0598,181
0599,60
0600,95
0601,145
0602,96
0603,78
0604,118
0605,171
0606,110
0607,132
0608,120
0609,68
0610,82
0611,105
0612,123
0613,100
0614,60
0615,103
0616,135
0617,68
0618,113
0619,211
0620,67
0621,85
0622,81
0623,127
0624,118
0625,103
0626,55
0627,70
0628a,123
0628b,123
0629,74
0630,82
0631,130
0632,28
0633,74
0634,78
0635,29
0636,25
0637,107
0638,90
0639,"34,5"
0640,34
0641,47
0642,"42,5"
0643,71
0644,42
0645,"23,5"
0646,75
0647,89
0648,72
0649,39
0650,81
0651,121
0652,80
0653,74
0654,"39,5"
0655,21
0656,119
0657,"56,5"
0658,66
0659,54
0660,63
0661,"38,5"
0662,56
0663,115
0664,11
0665,94
0666,70
0667,71
0668,72
0669,130
0670,121
0671,144
0672,138
0673,59
0674,133
0675,103
0676,107
0677,170
0678,136
0679,61
0680,103
0681,106
0682,81
0683,112
0684,47
0685,98
0686,96
0687,28
0688,25
0689,59
0690,101
0691,106
0692,98
0693,133
0694,38
0695,121
0696,83
0697,160
0698,122
0699,104
0700,93
0701,86
0702,117
0703,123
0704,69
0705,76
0706,89
0707,139
0708,37
0709,156
0710,110
0711,122
0712,"51,5"
0713,101
0714,128
0715,161
0716,96
0717,74
0718,161
0719,185
0720,"58,5"
0721,"34,5"
0722,"57,5"
0723,47
0724,68
0725,48
0726,69
0727,40
0728,111
0729,114
0730,95
0731,117
0732,48
0733,52
0734,71
0735,"37,5"
0736,98
0737,90
0738,110
0739,86
0740,134
0741,89
0742,131
0743,71
0744,"86,5"
0745,100
0746,"55,5"
0747,54
0748,95
0749,125
0750,85
0751,116
0752,47
0753,125
0754,94
0755,71
0756,117
0757,119
0758,113
0759,122
0760,119
0761,126
0762,94
0763,91
0764,33
0765,35
0766,28
0767,96
0768,92
0769,114
0770,91
0771,102
0772,80
0773,86
0774,39
0775,"99,5"
0776,105
0777,"117,5"
0778,54
0779,120
0780,47
0781,95
0782,100
0783,44
0784,114
0785,65
0786,136
0787,72
0788,"43,5"
0789,99
0790,83
0791,117
0792,117
0793,137
0794,82
0795,105
0796,"68,5"
0797,121
0798,97
0799,43
0800,93
0801,38
0802,20
0803,94
0804,45
0805,40
0806,16
0807,118
0808,79
0809,"63,5"
0810,53
0811,124
0812,126
0813,65
0814,25
0815,128
0816,156
0817,75
0818,102
0819,46
0820,31
0821,140
0822,57
0823,65
0824,59
0825,60
0826,96
0827,57
0828,94
0829,50
0830,97
0831,52
0832,97
0833,84
0834,108
0835,133
0836,55
0837,83
0838,98
0839,79
0840,79
0841,52
0842,138
0843,50
0844,98
0845,104
0846,118
0847,97
0848,90
0849,150
0850,75
0851,55
0852,54
0853,62
0854,64
0855,57
0856,83
0857,44
0858,100
0859,104
0860,60
0861,87
0862,91
0863,94
0864,50
0865,66
0866,92
0867,96
0868,32
0869,94
0870,44
0871,76
0872,81
0873,55
0874,70
0875,75
0876,95
0877a,59
0877b,59
0878,47
0879,58
0880,34
0881,51
0882,28
0883,39
0884,85
0885,45
0886,82
0887,71
0888,70
0889,55
0890,112
0891,72
0892,79
0893,127
0894,93
0895,86
0896,56
0897,84
0898,128
0899,69
0900,106
0901,26
0902,39
0903,169
0904,37
0905,140
0906,120
0907,109
0908,41
0909,124
0910,"39,5"
0911,80
0912,112
0913,"24,5"
0914,32
0915,66
0916,76
0917,48
0918,33
0919,126
0920,135
0921,155
0922,130
0923,135
0924,156
0925,59
0926,88
0927,24
0928,55
0929,202
0930,"122,5"
0931,76
0932,70
0933,93
0934,109
0935,100
0936,137
0937,68
0938,67
0939,64
0940,75
0941,181
0942,82
0943,72
0944,93
0945,51
0946,115
0947,25
0948,40
0949,38
0950,29
0951,43
0952,32
0953,61
0954,63
0955,94
0956,130
0957,88
0958,58
0959,49
0960,"29,5"
0961,53
0962,28
0963,87
0964,62
0965,"43,5"
0966,92
0967,79
0968,61
0969,103
0970,98
0971,82
0972,33
0973,39
0974,"33,5"
0975,40
0976,50
0977,"57,5"
0978,33
0979,32
0980,110
0981,81
0982,91
0983,91
0984,47
0985,47
0986,99
0987,70
0988,51
0989,68
0990,46
0991,62
0992,33
0993,128
0994,87
0995,53
0996,100
0997,54
0998,42
0999,79
1000,97
1001,51
1002,41
1003,92
1004,47
1005,50
1006,30
1007,66
1008,91
1009,53
1010,68
1011,73
1012,117
1013,133
1014,114
1015,76
1016,77
1017,83
1018,82
1019,69
1020,92
1021,37
1022,40
1023,29
1024,53
1025,18
1026,64
1027,43
1028,100
1029,31
1030,26
1031,30
1032,72
1033,77
1034,0
1035,100
1036,94
1037,59
1038,0
1039,59
1040,94
1041,85
1042,#REF!
1043,#REF!
1044,#REF!
1045,#REF!
1046,#REF!
1047,#REF!
1048,#REF!
1049,#REF!
,#REF!
,#REF!
,#REF!
