AriaId,Character,Clef1,Clef2,Clef3
1034,Gandarte,C-1,,
1035,Poro,C-1,,
1036,Alessandro,C-1,,
1037,Erissena,C-1,,
1038,Cleofide,C-1,,
1039,Poro,C-1,,
1040,Cleofide,C-1,,
1041,Poro,C-1,,
1042,Gandarte,C-1,,
1043,Gandarte,C-1,,
1044,Alessandro,C-1,,
1045,Matusio,C-4,,
1046,Erissena,C-1,,
1047,Dircea,C-1,,
1048,Alessandro,C-1,,
1049,Cleofide,C-1,,
1050,Poro,C-1,,
1051,Timagene,C-1,,
1052,Alessandro,C-1,,
1053,Gandarte,C-4,,
1054,Poro,C-1,,
1055,Alessandro,C-1,,
1056,Erissena,C-1,,
1057,Timagene,C-3,,
1058,Poro,C-1,,
1059,Cleofide,C-1,,
1060,Poro,C-1,,
1061,Poro,C-1,,
1062,Erissena,C-1,,
1063,Gandarte,C-4,,
1064,Alessandro,C-1,,
1065,Cleofide,C-1,,
1066,Alessandro,C-1,,
1067,Timagene,C-3,,
1068,Poro,C-1,,
1069,Gandarte,C-4,,
1070,Erissena,C-1,,
1071,Cleofide,C-1,,
1072,Poro,C-1,,
1073,Alessandro,C-4,,
1074,Erissena,C-1,,
1075,Poro,C-1,,
1076,Cleofide,C-1,,
1077,Gandarte,C-1,,
1078,"Cleofide,Poro",C-1,C-1,
1079,Erissena,C-1,,
1080,Poro,C-1,,
1081,Poro,C-1,,
1082,Timagene,C-4,,
1083,Cleofide,C-1,,
1084,Gandarte,C-4,,
1085,Alessandro,C-1,,
1086,Erissena,C-1,,
1087,Alessandro,C-1,,
1088,Gandarte,C-4,,
1089,Erissena,C-1,,
1090,Alessandro,C-1,,
1091,Alessandro,C-1,,
1092,Alessandro,C-1,,
1093,Poro,C-1,,
1094,Gandarte,C-4,,
1095,Erissena,C-1,,
1096,Erissena,C-1,,
1097,Erissena,C-1,,
1098,Poro,C-1,,
1099,Erissena,C-1,,
1100,Poro,C-1,,
1101,Cleofide,C-1,,
1102,"Cleofide,Poro",C-1,C-1,
1103,Timagene,C-3,,
1104,Matusio,C-4,,
1105,Dircea,C-1,,
1106,Demofoonte,C-4,,
1107,Creusa,C-1,,
1108,Cleofide,C-1,,
1109,Gandarte,C-3,,
1110,Poro,C-1,,
1111,Alessandro,C-4,,
1112,Erissena,C-1,,
1113,Poro,C-1,,
1114,Cleofide,C-1,,
1115,"Cleofide,Poro,Alessandro",C-1,C-1,C-4
1116,Poro,C-1,,
1117,Cleofide,C-1,,
1118,Gandarte,C-1,,
1119,Cleofide,C-1,,
1120,Timagene,C-1,,
1121,Erissena,C-1,,
1122,Cleofide,C-1,,
1123,Poro,C-1,,
1124,Cleofide,C-1,,
1125,Poro,C-1,,
1126,Alessandro,C-1,,
1127,Timagene,C-1,,
1128,Poro,C-1,,
1129,Poro,C-1,,
1130,Poro,C-1,,
1131,Erissena,C-1,,
1132,Alessandro,C-4,,
1133,"Cleofide,Poro",C-1,C-1,
1134,Erissena,C-1,,
1135,Poro,C-1,,
1136,Gandarte,C-1,,
1137,Timagene,C-1,,
1138,Cleofide,C-1,,
1139,Timagene,C-1,,
1140,Poro,C-1,,
1141,Gandarte,C-1,,
1142,Alessandro,C-4,,
1143,"Cleofide,Poro",C-1,C-1,
1144,Didone,C-1,,
1145,Didone,C-1,,
1146,Enea,C-1,,
1147,Osmida,C-3,,
1148,Araspe,C-1,,
1149,Erissena,C-1,,
1150,Poro,C-1,,
1151,Cleofide,C-1,,
1152,Alessandro,C-4,,
1153,Timagene,C-1,,
1154,Cleofide,C-1,,
1155,Poro,C-1,,
1156,Cleofide,C-1,,
1157,Gandarte,C-1,,
1158,Alessandro,C-4,,
1159,Didone,C-1,,
1160,Cleofide,C-1,,
1161,Iarba,C-4,,
1162,Enea,C-3,,
1163,Poro,C-1,,
1164,Gandarte,C-1,,
1165,Selene,C-1,,
1166,Didone,C-1,,
1167,Iarba,C-4,,
1168,Matusio,C-4,,
1169,Erissena,C-1,,
1170,"Cleofide,Poro",C-1,C-1,
1171,Poro,C-1,,
1172,Dircea,C-1,,
1173,Creusa,C-1,,
1174,Adriasto,C-4,,
1175,Demofoonte,C-4,,
1176,Timante,C-1,,
1177,Creusa,C-1,,
1178,Dircea,C-1,,
1179,Timante,C-1,,
1180,Matusio,C-4,,
1181,Cherinto,C-1,,
1182,Demofoonte,C-4,,
1183,Adriasto,C-1,,
1184,Cherinto,C-1,,
1185,Demofoonte,C-4,,
1186,Dircea,C-1,,
1187,"Dircea,Timante",C-1,C-1,
1188,Gandarte,C-1,,
1189,Poro,C-1,,
